id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,1,Workflow1,2.0002,RawVideo,5,20000,0
2,LINK,0,2,Workflow1,2.0002,RawVideo,10,20000,0
3,LINK,0,3,Workflow1,2.0002,RawVideo,15,20000,0
1,LINK,1,4,Workflow1,2.00002,ObjectDetected,17.26550612244898,2000,0
1,LINK,4,5,Workflow1,2.00002,IdentifyObject,19.796138367346938,2000,0
4,LINK,0,1,Workflow1,2.0002,RawVideo,20,20000,1
5,LINK,0,2,Workflow1,2.0002,RawVideo,25,20000,0
1,LINK,5,4,Workflow1,2.000001,ObjectIdentified,26.87779102040816,100,1
3,LINK,3,4,Workflow1,2.00002,ObjectDetected,27.26550612244898,2000,1
1,LINK,4,7,Workflow1,2.00002,EventIdentified,29.061465489795918,2000,1
3,LINK,4,6,Workflow1,2.00002,IdentifyObject,29.796138367346938,2000,1
6,LINK,0,3,Workflow1,2.0002,RawVideo,30,20000,2
7,LINK,0,1,Workflow1,2.0002,RawVideo,35,20000,0
3,LINK,6,4,Workflow1,2.000001,ObjectIdentified,36.87779102040816,100,1
5,LINK,2,4,Workflow1,2.00002,ObjectDetected,37.26550612244898,2000,1
3,LINK,4,7,Workflow1,2.00002,EventIdentified,39.061465489795914,2000,1
5,LINK,4,5,Workflow1,2.00002,IdentifyObject,39.79613836734694,2000,1
8,LINK,0,2,Workflow1,2.0002,RawVideo,40,20000,2
9,LINK,0,3,Workflow1,2.0002,RawVideo,45,20000,0
5,LINK,5,4,Workflow1,2.000001,ObjectIdentified,46.87779102040817,100,1
7,LINK,1,4,Workflow1,2.00002,ObjectDetected,47.26550612244898,2000,1
5,LINK,4,7,Workflow1,2.00002,EventIdentified,49.06146548979592,2000,1
7,LINK,4,6,Workflow1,2.00002,IdentifyObject,49.79613836734694,2000,1
10,LINK,0,1,Workflow1,2.0002,RawVideo,50,20000,2
11,LINK,0,2,Workflow1,2.0002,RawVideo,55,20000,0
7,LINK,6,4,Workflow1,2.000001,ObjectIdentified,56.87779102040817,100,1
9,LINK,3,4,Workflow1,2.00002,ObjectDetected,57.26550612244898,2000,1
7,LINK,4,7,Workflow1,2.00002,EventIdentified,59.06146548979592,2000,1
9,LINK,4,5,Workflow1,2.00002,IdentifyObject,59.79613836734694,2000,1
12,LINK,0,3,Workflow1,2.0002,RawVideo,60,20000,2
13,LINK,0,1,Workflow1,2.0002,RawVideo,65,20000,0
9,LINK,5,4,Workflow1,2.000001,ObjectIdentified,66.87779102040817,100,1
11,LINK,2,4,Workflow1,2.00002,ObjectDetected,67.26550612244898,2000,1
9,LINK,4,7,Workflow1,2.00002,EventIdentified,69.06146548979592,2000,1
11,LINK,4,6,Workflow1,2.00002,IdentifyObject,69.79613836734694,2000,1
14,LINK,0,2,Workflow1,2.0002,RawVideo,70,20000,2
12,LINK,3,4,Workflow1,2.00002,ObjectDetected,72.26550612244898,2000,0
12,LINK,4,5,Workflow1,2.00002,IdentifyObject,74.79613836734694,2000,0
15,LINK,0,3,Workflow1,2.0002,RawVideo,75,20000,1
11,LINK,6,4,Workflow1,2.000001,ObjectIdentified,76.87779102040817,100,1
13,LINK,1,4,Workflow1,2.00002,ObjectDetected,77.26550612244898,2000,1
11,LINK,4,7,Workflow1,2.00002,EventIdentified,79.06146548979592,2000,1
13,LINK,4,6,Workflow1,2.00002,IdentifyObject,79.79613836734694,2000,1
16,LINK,0,1,Workflow1,2.0002,RawVideo,80,20000,2
12,LINK,5,4,Workflow1,2.000001,ObjectIdentified,81.87779102040817,100,1
14,LINK,2,4,Workflow1,2.00002,ObjectDetected,82.26550612244898,2000,1
12,LINK,4,7,Workflow1,2.00002,EventIdentified,84.06146548979592,2000,1
14,LINK,4,5,Workflow1,2.00002,IdentifyObject,84.79613836734694,2000,1
17,LINK,0,2,Workflow1,2.0002,RawVideo,85,20000,2
13,LINK,6,4,Workflow1,2.000001,ObjectIdentified,86.87779102040817,100,1
13,LINK,4,7,Workflow1,2.00002,EventIdentified,89.06146548979592,2000,0
18,LINK,0,3,Workflow1,2.0002,RawVideo,90,20000,1
14,LINK,5,4,Workflow1,2.000001,ObjectIdentified,91.87779102040817,100,1
14,LINK,4,7,Workflow1,2.00002,EventIdentified,94.06146548979592,2000,0
19,LINK,0,1,Workflow1,2.0002,RawVideo,95,20000,1
17,LINK,2,4,Workflow1,2.00002,ObjectDetected,97.26550612244898,2000,0
17,LINK,4,6,Workflow1,2.00002,IdentifyObject,99.79613836734694,2000,0
